,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146
BL01 IN,0.0,0.0,0.0,0.12,0.47,1.0,0.47,0.24,0.18,0.18,0.18,0.18,0.12,0.12,0.29,0.59,0.41,0.24,0.12,0.06,0.0,0.0,0.0,0.0,0.12,0.41,1.0,0.47,0.24,0.18,0.18,0.18,0.18,0.12,0.24,0.41,0.53,0.35,0.18,0.12,0.06,0.0,0.0,0.0,0.0,0.12,0.35,0.82,0.41,0.24,0.18,0.18,0.24,0.18,0.12,0.18,0.29,0.53,0.35,0.18,0.12,0.06,0.0,0.0,0.0,0.0,0.12,0.47,1.0,0.53,0.29,0.18,0.18,0.24,0.18,0.12,0.12,0.35,0.59,0.41,0.18,0.12,0.06,0.06,0.0,0.0,0.0,0.12,0.41,1.0,0.47,0.24,0.24,0.24,0.24,0.18,0.12,0.18,0.35,0.71,0.47,0.24,0.12,0.06,0.06,0.0,0.0,0.0,0.12,0.18,0.29,0.35,0.35,0.35,0.29,0.29,0.24,0.18,0.24,0.29,0.24,0.18,0.12,0.12,0.06,0.06,0.0,0.0,0.0,0.06,0.18,0.24,0.29,0.35,0.35,0.29,0.29,0.24,0.18,0.24,0.24,0.24,0.18,0.12,0.12,0.06,0.0
BL01 OUT,0.1,0.0,0.0,0.1,0.9,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.9,0.8,0.6,0.5,0.6,0.3,0.1,0.0,0.0,0.1,0.9,0.9,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.7,0.8,0.7,0.5,0.5,0.5,0.2,0.1,0.0,0.0,0.1,0.7,0.7,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.8,0.7,0.6,0.5,0.6,0.3,0.1,0.0,0.0,0.1,0.9,0.9,0.3,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.5,0.8,0.8,0.6,0.6,0.7,0.3,0.2,0.0,0.0,0.1,0.9,1.0,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.4,0.5,0.8,0.8,0.6,0.6,0.8,0.4,0.2,0.0,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.7,0.4,0.1,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.5,0.6,0.5,0.5,0.6,0.5,0.3
BL02 IN,0.0,0.0,0.0,0.08,0.54,1.0,0.62,0.38,0.29,0.25,0.25,0.21,0.17,0.17,0.29,0.46,0.29,0.17,0.12,0.08,0.04,0.0,0.0,0.0,0.08,0.5,1.0,0.58,0.33,0.29,0.25,0.25,0.17,0.17,0.21,0.33,0.42,0.25,0.12,0.08,0.04,0.04,0.0,0.0,0.0,0.08,0.42,0.79,0.5,0.29,0.25,0.25,0.25,0.21,0.17,0.17,0.29,0.38,0.25,0.12,0.08,0.08,0.04,0.0,0.0,0.0,0.08,0.5,0.96,0.67,0.38,0.29,0.25,0.25,0.21,0.17,0.17,0.33,0.5,0.29,0.17,0.12,0.08,0.04,0.0,0.0,0.0,0.08,0.46,0.96,0.58,0.38,0.29,0.29,0.29,0.25,0.21,0.21,0.38,0.54,0.38,0.21,0.12,0.08,0.04,0.0,0.0,0.0,0.04,0.21,0.33,0.38,0.46,0.5,0.42,0.38,0.33,0.25,0.25,0.29,0.29,0.21,0.17,0.12,0.12,0.08,0.0,0.0,0.0,0.04,0.12,0.25,0.33,0.38,0.42,0.38,0.33,0.29,0.25,0.25,0.29,0.29,0.21,0.21,0.21,0.12,0.04
BL02 OUT,0.06,0.0,0.0,0.18,0.53,0.47,0.24,0.18,0.18,0.24,0.24,0.29,0.29,0.41,0.71,0.94,1.0,0.59,0.53,0.47,0.24,0.06,0.0,0.0,0.18,0.53,0.53,0.29,0.18,0.18,0.24,0.24,0.29,0.35,0.53,0.82,0.88,0.82,0.47,0.47,0.41,0.18,0.06,0.0,0.0,0.12,0.41,0.41,0.24,0.18,0.18,0.18,0.24,0.24,0.29,0.35,0.65,0.82,0.82,0.53,0.53,0.53,0.24,0.06,0.0,0.0,0.18,0.53,0.53,0.29,0.18,0.18,0.24,0.24,0.29,0.29,0.41,0.71,0.94,1.0,0.59,0.59,0.53,0.24,0.06,0.0,0.0,0.18,0.53,0.53,0.29,0.24,0.18,0.24,0.24,0.35,0.35,0.41,0.71,1.0,0.94,0.65,0.71,0.71,0.35,0.06,0.0,0.0,0.18,0.24,0.24,0.29,0.29,0.29,0.24,0.35,0.35,0.47,0.53,0.59,0.65,0.53,0.47,0.59,0.59,0.35,0.06,0.0,0.0,0.12,0.24,0.29,0.24,0.24,0.24,0.18,0.29,0.29,0.41,0.41,0.59,0.53,0.53,0.47,0.47,0.41,0.18
BL03 IN,0.0,0.0,0.0,0.12,0.44,0.94,0.5,0.31,0.25,0.25,0.25,0.19,0.12,0.19,0.25,0.31,0.19,0.12,0.12,0.06,0.06,0.0,0.0,0.0,0.12,0.44,1.0,0.5,0.31,0.25,0.19,0.25,0.19,0.12,0.19,0.25,0.25,0.12,0.12,0.06,0.06,0.0,0.0,0.0,0.0,0.06,0.37,0.81,0.37,0.25,0.25,0.25,0.25,0.19,0.12,0.19,0.25,0.25,0.19,0.12,0.06,0.06,0.06,0.0,0.0,0.0,0.12,0.44,0.94,0.5,0.31,0.25,0.19,0.25,0.19,0.12,0.19,0.25,0.31,0.19,0.12,0.12,0.06,0.06,0.0,0.0,0.0,0.12,0.44,0.94,0.5,0.31,0.25,0.25,0.25,0.19,0.19,0.19,0.31,0.37,0.25,0.12,0.12,0.12,0.06,0.0,0.0,0.0,0.06,0.19,0.31,0.31,0.37,0.37,0.37,0.31,0.25,0.19,0.19,0.25,0.25,0.19,0.12,0.12,0.06,0.06,0.0,0.0,0.0,0.06,0.12,0.25,0.25,0.31,0.31,0.31,0.25,0.25,0.19,0.19,0.19,0.19,0.12,0.12,0.12,0.06,0.06
BL03 OUT,0.1,0.0,0.0,0.1,0.3,0.4,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,1.0,0.9,0.6,0.5,0.5,0.2,0.1,0.0,0.0,0.1,0.3,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.8,0.9,0.8,0.5,0.4,0.5,0.2,0.1,0.0,0.0,0.1,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.6,0.9,0.8,0.6,0.5,0.6,0.2,0.1,0.0,0.0,0.1,0.3,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.6,1.0,0.9,0.6,0.5,0.6,0.2,0.1,0.0,0.0,0.1,0.3,0.4,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,1.0,0.8,0.6,0.6,0.7,0.3,0.1,0.0,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.5,0.6,0.5,0.4,0.4,0.6,0.5,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.4,0.4,0.5,0.4,0.2
BL04 IN,0.0,0.0,0.0,0.11,0.45,0.96,0.45,0.25,0.21,0.21,0.21,0.15,0.13,0.13,0.17,0.21,0.13,0.08,0.08,0.06,0.02,0.0,0.0,0.0,0.11,0.45,1.0,0.47,0.26,0.19,0.19,0.21,0.15,0.11,0.13,0.15,0.17,0.11,0.06,0.06,0.04,0.02,0.0,0.0,0.0,0.09,0.38,0.83,0.4,0.23,0.19,0.21,0.21,0.17,0.13,0.13,0.17,0.19,0.11,0.08,0.06,0.06,0.02,0.0,0.0,0.0,0.11,0.43,0.98,0.49,0.28,0.21,0.21,0.23,0.15,0.13,0.13,0.17,0.21,0.13,0.08,0.08,0.06,0.02,0.02,0.0,0.0,0.11,0.43,0.98,0.47,0.28,0.23,0.21,0.21,0.17,0.13,0.15,0.19,0.25,0.17,0.11,0.09,0.08,0.04,0.02,0.0,0.0,0.08,0.17,0.26,0.3,0.3,0.32,0.28,0.28,0.23,0.17,0.17,0.23,0.21,0.13,0.09,0.08,0.06,0.04,0.0,0.0,0.0,0.06,0.11,0.21,0.23,0.26,0.28,0.25,0.26,0.23,0.19,0.15,0.17,0.15,0.11,0.09,0.08,0.06,0.02
BL04 OUT,0.06,0.0,0.0,0.03,0.14,0.2,0.14,0.11,0.14,0.17,0.2,0.2,0.23,0.29,0.54,0.97,0.94,0.54,0.49,0.51,0.23,0.06,0.0,0.0,0.03,0.14,0.2,0.14,0.11,0.14,0.17,0.2,0.2,0.23,0.43,0.69,0.94,0.77,0.46,0.43,0.46,0.17,0.06,0.0,0.0,0.03,0.11,0.14,0.11,0.11,0.11,0.14,0.17,0.17,0.23,0.29,0.51,0.89,0.8,0.49,0.49,0.51,0.2,0.09,0.0,0.0,0.03,0.17,0.17,0.14,0.11,0.14,0.14,0.2,0.17,0.23,0.31,0.54,1.0,0.89,0.57,0.51,0.57,0.23,0.11,0.0,0.0,0.03,0.14,0.2,0.14,0.14,0.14,0.17,0.2,0.2,0.26,0.34,0.54,0.97,0.8,0.57,0.54,0.66,0.31,0.11,0.0,0.0,0.03,0.06,0.11,0.11,0.14,0.14,0.2,0.2,0.26,0.26,0.37,0.46,0.49,0.4,0.43,0.51,0.57,0.29,0.06,0.0,0.0,0.03,0.09,0.09,0.09,0.11,0.11,0.17,0.17,0.23,0.26,0.34,0.4,0.46,0.37,0.4,0.46,0.43,0.2
BL05 IN,0.02,0.0,0.0,0.12,0.42,0.96,0.46,0.27,0.25,0.23,0.21,0.17,0.17,0.19,0.27,0.29,0.21,0.12,0.1,0.06,0.02,0.0,0.0,0.0,0.12,0.42,1.0,0.46,0.27,0.23,0.23,0.21,0.17,0.17,0.23,0.27,0.27,0.17,0.12,0.08,0.06,0.02,0.0,0.0,0.0,0.1,0.37,0.83,0.4,0.25,0.21,0.23,0.21,0.17,0.17,0.17,0.25,0.27,0.17,0.12,0.1,0.08,0.02,0.02,0.0,0.0,0.1,0.42,0.96,0.5,0.29,0.25,0.23,0.23,0.17,0.17,0.21,0.27,0.31,0.21,0.13,0.1,0.08,0.04,0.02,0.0,0.0,0.1,0.42,0.96,0.46,0.29,0.25,0.25,0.23,0.19,0.17,0.19,0.29,0.33,0.23,0.13,0.12,0.08,0.04,0.02,0.0,0.0,0.08,0.13,0.23,0.29,0.31,0.33,0.29,0.27,0.21,0.19,0.19,0.23,0.19,0.13,0.1,0.1,0.08,0.04,0.02,0.0,0.0,0.06,0.1,0.17,0.19,0.23,0.27,0.23,0.23,0.19,0.15,0.15,0.17,0.15,0.1,0.1,0.08,0.06,0.02
BL05 OUT,0.07,0.0,0.0,0.1,0.37,0.43,0.37,0.27,0.2,0.2,0.27,0.27,0.3,0.33,0.53,1.0,0.9,0.53,0.47,0.43,0.17,0.03,0.0,0.0,0.1,0.37,0.47,0.37,0.27,0.2,0.23,0.3,0.27,0.3,0.43,0.73,0.93,0.73,0.43,0.43,0.4,0.13,0.07,0.0,0.0,0.07,0.27,0.37,0.3,0.2,0.17,0.2,0.27,0.27,0.27,0.33,0.5,0.9,0.73,0.47,0.47,0.43,0.17,0.07,0.0,0.0,0.1,0.37,0.43,0.37,0.27,0.2,0.23,0.3,0.27,0.3,0.33,0.57,1.0,0.83,0.5,0.53,0.5,0.2,0.1,0.0,0.0,0.07,0.33,0.4,0.33,0.27,0.2,0.23,0.3,0.3,0.3,0.33,0.57,0.93,0.8,0.5,0.53,0.57,0.27,0.1,0.0,0.0,0.07,0.17,0.2,0.23,0.27,0.23,0.23,0.27,0.27,0.3,0.33,0.43,0.43,0.37,0.33,0.43,0.47,0.23,0.03,0.0,0.0,0.03,0.1,0.13,0.17,0.13,0.17,0.17,0.23,0.27,0.27,0.3,0.4,0.4,0.33,0.33,0.37,0.33,0.13
